x,R
1.009403,37.04572
1.019509,36.55008
1.032228,36.81946
1.03255,36.61412
1.035861,36.8034
1.041172,36.50935
1.056386,36.34566
1.056425,36.52158
1.070992,36.43798
1.071815,36.21325
1.078412,36.23261
1.200642,34.70486
1.229801,34.92817
1.257486,34.70477
1.278971,34.8828
1.310324,35.07848
1.318547,34.84328
1.32021,34.97581
1.419448,34.61433
1.473029,34.85471
1.485005,34.86171
1.487341,34.77831
1.556496,34.62778
1.564754,34.95869
1.569318,34.82929
1.754299,32.94171
1.812801,33.20006
1.845847,32.68817
1.905783,32.85038
1.932538,32.99666
